Threshold,Target,Model,Metrics,Accuracy
3dB,ITR,KNN,AvgPower + DetectionTime + DetectionPctVar,0.2857142857142857
3dB,BCI,KNN,AvgPower + DetectionTime + EarlyDetectionRatio,0.38095238095238093
3dB,ITR,KNN,AvgPower + DetectionTime + EarlyDetectionRatio,0.23809523809523808
3dB,BCI,KNN,AvgPower + DetectionTime + PowerSkewness,0.47619047619047616
3dB,ITR,KNN,AvgPower + DetectionTime + PowerSkewness,0.2857142857142857
3dB,BCI,KNN,AvgPower + DetectionTime + RobustnessIndex,0.42857142857142855
3dB,ITR,KNN,AvgPower + DetectionTime + RobustnessIndex,0.19047619047619047
3dB,BCI,KNN,AvgPower + DetectionTime + FreqEntropy,0.5714285714285714
3dB,ITR,KNN,AvgPower + DetectionTime + FreqEntropy,0.3333333333333333
3dB,BCI,KNN,AvgPower + DetectionTime + StrongResponses,0.3333333333333333
3dB,ITR,KNN,AvgPower + DetectionTime + StrongResponses,0.23809523809523808
3dB,BCI,KNN,AvgPower + DetectionRate + DetectionPctVar,0.6190476190476191
3dB,ITR,KNN,AvgPower + DetectionRate + DetectionPctVar,0.23809523809523808
3dB,BCI,KNN,AvgPower + DetectionRate + EarlyDetectionRatio,0.42857142857142855
3dB,ITR,KNN,AvgPower + DetectionRate + EarlyDetectionRatio,0.38095238095238093
3dB,BCI,KNN,AvgPower + DetectionRate + PowerSkewness,0.5238095238095238
3dB,ITR,KNN,AvgPower + DetectionRate + PowerSkewness,0.3333333333333333
3dB,BCI,KNN,AvgPower + DetectionRate + RobustnessIndex,0.6190476190476191
3dB,ITR,KNN,AvgPower + DetectionRate + RobustnessIndex,0.38095238095238093
3dB,BCI,KNN,AvgPower + DetectionRate + FreqEntropy,0.5714285714285714
3dB,ITR,KNN,AvgPower + DetectionRate + FreqEntropy,0.47619047619047616
3dB,BCI,KNN,AvgPower + DetectionRate + StrongResponses,0.6190476190476191
3dB,ITR,KNN,AvgPower + DetectionRate + StrongResponses,0.2857142857142857
3dB,BCI,KNN,AvgPower + DetectionPctVar + EarlyDetectionRatio,0.5238095238095238
3dB,ITR,KNN,AvgPower + DetectionPctVar + EarlyDetectionRatio,0.2857142857142857
3dB,BCI,KNN,AvgPower + DetectionPctVar + PowerSkewness,0.5238095238095238
3dB,ITR,KNN,AvgPower + DetectionPctVar + PowerSkewness,0.3333333333333333
3dB,BCI,KNN,AvgPower + DetectionPctVar + RobustnessIndex,0.6190476190476191
3dB,ITR,KNN,AvgPower + DetectionPctVar + RobustnessIndex,0.19047619047619047
3dB,BCI,KNN,AvgPower + DetectionPctVar + FreqEntropy,0.6190476190476191
